91-93,6-92
85-97,18-63
15-99,16-98
35-49,34-50
4-7,6-93
57-86,57-58
1-82,83-90
21-88,20-89
83-84,1-83
8-82,7-83
69-70,45-69
18-92,93-95
5-79,4-79
10-15,11-90
69-69,69-82
67-67,67-86
18-88,17-94
42-60,43-89
1-57,18-56
32-34,32-35
23-56,24-55
68-68,67-67
10-98,11-48
12-57,13-29
14-67,13-40
35-37,36-84
6-83,6-82
29-50,28-29
55-83,88-95
43-96,43-66
59-72,59-63
52-69,70-83
51-51,24-51
91-99,91-98
27-27,26-54
36-42,36-42
63-64,64-79
24-68,23-24
71-93,13-92
57-82,56-56
69-97,70-99
96-96,41-93
7-89,8-89
47-97,97-98
52-89,52-93
79-79,30-78
73-74,18-74
34-65,34-66
17-99,18-74
60-63,61-65
77-77,27-78
36-52,51-53
6-7,7-98
14-35,36-91
3-3,5-82
24-24,25-97
4-65,3-18
2-9,10-90
14-82,15-76
3-3,3-32
43-85,43-86
91-91,23-92
65-98,10-84
8-71,9-72
94-94,6-95
64-66,65-65
5-75,4-4
19-76,20-55
31-98,32-99
3-83,3-12
70-71,21-71
28-36,37-50
6-95,5-94
56-56,56-67
17-77,25-95
24-50,25-51
36-60,60-73
30-50,48-63
4-98,5-97
42-42,42-56
15-17,16-46
35-69,36-70
22-49,22-95
41-77,36-36
48-92,47-96
7-89,6-88
20-94,20-94
9-75,73-76
35-60,35-58
35-90,35-94
1-93,1-94
26-26,26-45
29-98,28-94
55-86,45-68
24-87,25-87
94-94,17-93
35-93,36-92
9-28,9-90
25-74,26-73
12-79,11-98
58-92,57-93
1-64,2-63
96-97,7-97
44-62,62-69
77-90,6-52
1-96,96-97
55-66,54-68
1-86,1-85
28-91,28-94
6-89,5-89
9-35,9-9
2-22,1-34
16-56,54-57
36-44,44-68
29-87,11-87
30-32,31-54
18-76,10-10
12-13,13-26
18-46,17-55
12-53,13-54
30-67,31-66
22-60,22-22
42-94,42-42
6-65,66-98
41-43,42-98
47-71,48-72
8-65,7-46
25-63,6-12
57-62,24-56
15-29,14-33
21-65,20-94
27-94,28-89
88-95,5-72
65-80,64-81
72-73,39-72
22-48,21-48
5-6,13-80
54-80,55-79
34-66,31-43
26-52,51-66
27-28,15-27
90-99,89-99
25-55,26-27
29-94,29-95
27-96,96-96
35-65,65-66
15-56,63-84
36-83,35-37
15-72,15-15
14-90,15-34
2-41,4-42
48-75,47-56
23-63,63-78
8-90,5-89
41-65,12-66
48-61,54-60
28-90,29-35
51-83,85-87
9-95,9-92
57-76,57-69
2-66,2-65
7-92,11-92
26-89,88-88
37-37,37-86
33-37,36-84
3-97,99-99
29-32,29-57
